reproductive_maturity,tsc_reproductive_maturity,tsc_criteria
Mating,adult-mating,14
Non-breeding,adult,1
Young in pouch,adult-young-pouch,17
Eggs,eggs,23
Male in breeding colours,adult-male-breeding-colours,12
Nesting,adult-nesting,20
Young at heel,adult-young-heel,19
No signs of breeding,Adult,1
Young in nest,adult-young-nest,18
Mound building,adult-mound-building,21
Courtship behaviour,adult-courtship-behaviour,11
Pregnant,adult-pregnant,15
Lactating female,adult-lactating-female,16
Fledgling/hatchling emergence,hatchling,7
Breeding behaviour,adult-breeding-behaviour,10
Recent signs of breeding,adult-recent-signs-breeding,22
eggs,eggs,23
Breeding/mating call,adult-breeding-mating-call,13
nesting,adult-nesting,20
young at heel,adult-young-heel,19
