secondary_signs,tsc_secondary_signs,tsc_criteria
No other signs,,
Scats,scats,2
Bones,bones,13
Hair/Fur,"fur,hair","10,11"
Mound,nest-or-mound,5
Nest,nest-or-mound,5
Eggs/Eggshell,"eggs,eggshell","14,15"
Feathers,feathers,9
Heard/Call,sound,1
Diggings,diggings,4
Burrow,burrow,8
Tracks,tracks,3
Spider web,,
Definite signs,,
Feeding residue,feeding-residue,17
Skin,skin,12
Shell,shell,16
Fauna run,fauna-run,18
Hollow,natural-hollow,6
Hollow (Artificial),artificial-hollow,7
Eggs,eggs,14
Hollow (artificial),artificial-hollow,7
nest,nest-or-mound,5
MOund,nest-or-mound,5
Fauna runnel,fauna-run,18
Heard,sound,1
Digging,diggings,4
Track,tracks,3
Scat,scats,2
Hollows,natural-hollow,6
