criterion_code,category_code,tsc_category_id,tec_criteria,tsc_criteria
EN B) ii),EN,31,B) ii),83
EN B) III),EN,31,B) III),84
CR A) ii),CR,32,A) ii),81
CR B) ii),CR,32,B) ii),83
CR C),CR,32,C),85
CR A) i),CR,32,A) i),80
CR B) iii),CR,32,B) iii),84
EN B) i),EN,31,B) i),82
CR B) i),CR,32,B) i),82
VU B),VU,34,B),79
VU C),VU,34,C),85
DD,DD,23,,
LR,LR,24,,
P 4 (a),P4,38,(a),
P 1,P1,35,,
PD B),PD,29,B),79
P 2,P2,36,,
P 4(b),P4,38,(b),
VU A),VU,34,A),78
P 3(i),P3,37,(i),
P 3(iii),P3,37,(iii),
P 3(ii),P3,37,(ii),
EN A) i),EN,31,A) i),80
PD A),PD,29,A),78
NE,NE,25,,
EN A) ii),EN,31,A) ii),81
